Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
Animal,2023.0,0,20,"Drama, Thriller, Action",0.6,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Renaissance: A Film by Beyoncé,2023.0,0,160,"Music, Documentary",7.092,0.0,0,2127353.0,71070.0,3385.0,8.6,3670.0,43989684.0
Five Nights at Freddy's,2023.0,0,7,"Horror, Thriller, Comedy",2.744,0.0,0,44759028.0,878170.0,64060.0,5.4,111859.0,291493620.0
N'avoue jamais,2024.0,5000000,0,Comedy,0.695,0.0,0,198998.0,1006.0,58.0,5.8,527.0,1437432.0
Autumn and the Black Jaguar,2024.0,0,0,"Comedy, Adventure",1.693,0.0,0,353023.0,1140.0,46.0,5.6,1000.0,21429423.0
Oppenheimer,2023.0,0,43,Documentary,1.4,0.0,0,73045214.0,829634.0,33806.0,8.3,883245.0,972444774.0
National Theatre Live: Vanya,2024.0,0,110,Drama,0.899,0.0,0,382893.0,2786.0,98.0,8.6,990.0,2504285.0
Aristokratka ve varu,2024.0,0,0,Comedy,0.847,0.0,0,163843.0,898.0,22.0,5.1,58.0,2035808.0
Dream,2023.0,0,0,Animation,1.224,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
Et plus si affinités,2024.0,0,0,"Comedy, Drama",0.75,0.0,0,1313199.0,250.0,31.0,,,2016318.0
Menudas piezas,2024.0,0,0,Comedy,1.4,0.0,0,486121.0,773.0,54.0,5.8,599.0,1586216.0
Dream,2023.0,0,120,"Drama, Fantasy, Romance",2.146,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
After Death,2023.0,0,103,"Documentary, Drama",4.889,0.0,0,395739.0,4428.0,600.0,6.3,1902.0,11794504.0
Eine Million Minuten,2024.0,0,0,Drama,0.606,0.0,0,1505442.0,1547.0,252.0,,,11077140.0
Past Lives,2023.0,0,15,"Drama, Fantasy",0.6,0.0,0,10430573.0,153524.0,4707.0,7.8,150770.0,41922628.0
La familia Benetón,2024.0,0,0,,0.706,0.0,0,61042.0,212.0,23.0,4.4,398.0,4111890.0
Dream,2023.0,0,9,"Drama, Music",0.6,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
El Roomie,2024.0,0,99,Comedy,0.0,0.0,0,2291480.0,6692.0,140.0,5.9,307.0,4418253.0
Article 370,2024.0,0,0,Drama,0.833,0.0,0,826028.0,8824.0,541.0,7.8,24661.0,13222021.0
Queen Rock Montreal,2024.0,0,96,Music,0.0,0.0,0,114111.0,1727.0,128.0,8.5,788.0,2537304.0
Matka v trapu,2024.0,0,0,Comedy,0.0,0.0,0,172153.0,705.0,41.0,4.2,76.0,1477538.0
Dog Days,2024.0,0,3,"Animation, Comedy",1.4,0.0,0,27777.0,294.0,17.0,6.7,314.0,2658318.0
National Theatre Live: The Motive and the Cue,2024.0,0,160,Drama,0.0,0.0,0,74691.0,544.0,58.0,8.5,193.0,1338772.0
Mai,2024.0,0,131,Drama,0.0,0.0,0,161220.0,778.0,142.0,6.8,1516.0,21714524.0
Breaking Point,2024.0,0,23,Drama,0.0,0.0,0,3773.0,13.0,0.0,,,3532131.0
Missing,2023.0,0,15,Thriller,1.112,0.0,0,17677295.0,36418.0,2204.0,7.1,67315.0,48767848.0
La ferme des Bertrand,2024.0,0,0,Documentary,0.0,0.0,0,1602.0,11.0,0.0,,,1719910.0
Peppa's Cinema Party,2024.0,0,0,Animation,0.0,0.0,0,869704.0,1813.0,0.0,5.0,155.0,3473576.0
National Theatre Live: Dear England,2024.0,0,0,Drama,0.0,0.0,0,81394.0,370.0,82.0,8.1,138.0,1485050.0
Nedelja,2024.0,0,0,Drama,0.957,0.0,0,7522.0,42.0,0.0,7.2,1879.0,1905017.0
Lohusa,2024.0,0,0,"Comedy, Romance",0.6,0.0,0,6617112.0,61876.0,592.0,5.3,2852.0,8702629.0
Mai,2024.0,0,0,Romance,0.0,0.0,0,161220.0,778.0,142.0,6.8,1516.0,21714524.0
Onegin,2024.0,0,0,"Drama, Romance",0.0,0.0,0,84339.0,522.0,17.0,7.0,1206.0,8481968.0
Radical,2023.0,0,127,Drama,37.482,0.0,0,1926238.0,3412.0,216.0,7.8,6692.0,21356027.0
Spy x Family Code: White,2023.0,0,0,"Animation, Comedy, Adventure, Action",30.097,0.0,0,1614916.0,26092.0,945.0,7.3,6908.0,57830917.0
American Fiction,2023.0,0,117,"Comedy, Drama",6.826,0.0,0,11584592.0,43219.0,2639.0,7.5,110294.0,22483370.0
Love Reset,2023.0,0,119,"Romance, Comedy",22.778,0.0,0,752916.0,9095.0,271.0,6.8,2458.0,18425272.0
Maison de retraite 2,2024.0,0,0,Comedy,0.987,0.0,0,382450.0,1735.0,228.0,,,11196943.0
Anyone But You,2023.0,0,0,"Comedy, Romance",5.399,0.0,0,12573917.0,24129.0,1245.0,6.1,144546.0,219418334.0
Ocho apellidos marroquís,2023.0,0,0,Comedy,2.088,0.0,0,2550316.0,2429.0,1242.0,,,13999590.0
Thanksgiving,2023.0,0,107,"Horror, Thriller",9.07,0.0,0,25860269.0,79255.0,5539.0,6.2,70867.0,46553280.0
Night Swim,2024.0,0,0,"Horror, Thriller",2.412,0.0,0,14982586.0,40873.0,2999.0,4.7,27314.0,54075969.0
Wish,2023.0,200000000,92,"Animation, Family, Fantasy, Adventure",40.803,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,200000000,92,"Animation, Family, Fantasy, Adventure",40.803,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
The Roundup: Punishment,2024.0,0,0,"Crime, Action",3.265,0.0,0,277601.0,1246.0,39.0,6.6,5273.0,29793438.0
Priscilla,2023.0,0,110,"Drama, Romance",9.133,0.0,0,12915531.0,73218.0,5361.0,6.5,46924.0,32958807.0
Immaculate,2024.0,0,0,"Horror, Mystery",2.254,0.0,0,1402474.0,7040.0,558.0,5.8,52728.0,22314913.0
Matching,2024.0,0,0,,1.252,0.0,0,14780.0,172.0,7.0,,,5348492.0
The Shift,2023.0,0,68,Documentary,0.6,0.0,0,1071770.0,9296.0,1564.0,5.5,5813.0,12238643.0
14 jours pour aller mieux,2024.0,0,0,Comedy,1.4,0.0,0,404487.0,1544.0,177.0,,,2357682.0
Imaginary,2024.0,0,0,Horror,2.757,0.0,0,16334128.0,96286.0,3884.0,4.7,17248.0,39123048.0
Silent Night,2023.0,0,10,,0.6,0.0,0,16353887.0,70376.0,5837.0,5.3,25402.0,11067228.0
Mobile Suit Gundam Seed Freedom,2024.0,0,0,"Animation, Science Fiction, Action",2.505,0.0,0,901145.0,10877.0,1471.0,6.6,953.0,30149103.0
Valle de sombras,2024.0,0,0,"Adventure, Thriller, Drama",1.073,0.0,0,177427.0,376.0,61.0,,,1805813.0
El correo,2024.0,5433025,0,"Thriller, Comedy",1.173,0.0,0,2769213.0,2990.0,101.0,,,1751343.0
Animal,2023.0,0,15,,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,15,,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Wish,2023.0,0,66,"Drama, Romance",1.415,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,0,66,"Drama, Romance",1.415,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
The Little Mermaid,2023.0,0,98,"Animation, Family, Adventure, Comedy",4.143,0.0,0,27786523.0,375357.0,78212.0,3.2,183.0,569626289.0
The Little Mermaid,2023.0,0,98,"Animation, Family, Adventure, Comedy",4.143,0.0,0,27786523.0,375357.0,78212.0,7.2,171479.0,569626289.0
Verliefd op Bali,2024.0,0,0,,1.085,0.0,0,79630.0,151.0,17.0,,,3069304.0
Pare parecchio Parigi,2024.0,0,0,Comedy,0.995,0.0,0,736845.0,918.0,118.0,5.3,365.0,3445925.0
No Way Up,2024.0,0,0,"Action, Adventure, Drama",1.956,0.0,0,1211975.0,5741.0,791.0,4.6,10509.0,4412364.0
Retribution,2023.0,0,15,Western,1.4,0.0,0,13796374.0,39529.0,2995.0,5.3,25412.0,18685751.0
Silent Night,2023.0,250,10,"Horror, Action, Animation",0.0,0.0,0,16353887.0,70376.0,5837.0,5.3,25402.0,11067228.0
Aavesham,2024.0,0,0,"Comedy, Drama",0.789,0.0,0,112879.0,1186.0,55.0,7.8,27907.0,3351953.0
Karaoké,2024.0,0,0,Comedy,0.727,0.0,0,120606.0,271.0,0.0,5.6,152.0,1404406.0
Unsung Hero,2024.0,0,0,Drama,2.962,0.0,0,516922.0,4289.0,228.0,7.0,5012.0,11013890.0
The Machine,2023.0,0,5,Science Fiction,0.703,0.0,0,2913806.0,28016.0,1759.0,5.7,17240.0,10664328.0
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,2023.0,0,93,"Animation, Music",1.12,0.0,0,3277.0,87.0,0.0,7.4,26.0,18638991.0
Animal,2023.0,0,21,Documentary,0.957,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,21,Documentary,0.957,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
The Shift,2023.0,0,0,Science Fiction,2.892,0.0,0,1071770.0,9296.0,1564.0,5.5,5813.0,12238643.0
Breaking Point,2024.0,600,8,"Thriller, Drama",0.0,0.0,0,3773.0,13.0,0.0,,,3532131.0
Queen Rock Montreal,2024.0,0,0,"Documentary, Music",0.0,0.0,0,114111.0,1727.0,128.0,8.5,788.0,2537304.0
Dog Days,2024.0,0,9,,1.4,0.0,0,27777.0,294.0,17.0,6.7,314.0,2658318.0
Queen Rock Montreal,2024.0,0,95,"Documentary, Music",0.0,0.0,0,114111.0,1727.0,128.0,8.5,788.0,2537304.0
House Party,2023.0,0,0,,0.0,0.0,0,808487.0,12636.0,1336.0,4.4,4670.0,9285747.0
Talk to Me,2023.0,0,15,Drama,0.0,0.0,0,21233286.0,126972.0,6744.0,6.5,82.0,92181735.0
Barbie,2023.0,0,0,"Music, Family",1.4,0.0,0,88455374.0,904310.0,37341.0,6.8,605130.0,1445638421.0
Barbie,2023.0,0,3,Horror,1.211,0.0,0,88455374.0,904310.0,37341.0,6.8,605130.0,1445638421.0
Queen Rock Montreal,2024.0,0,95,Music,1.291,0.0,0,114111.0,1727.0,128.0,8.5,788.0,2537304.0
Lovesick Ellie,2024.0,0,108,"Romance, Comedy",0.0,0.0,0,51160.0,446.0,28.0,7.0,70.0,3365139.0
65,2023.0,0,5,"Drama, Family",0.0,0.0,0,30311431.0,287420.0,21054.0,5.4,99720.0,60730568.0
Wish,2023.0,0,27,Documentary,0.6,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,0,27,Documentary,0.6,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
Buzz House: The Movie,2024.0,0,0,,1.186,0.0,0,1526900.0,57641.0,1628.0,3.2,1271.0,1551436.0
Wish,2023.0,0,3,Animation,1.183,0.0,0,15546539.0,82365.0,14850.0,5.6,46614.0,254971753.0
Wish,2023.0,0,3,Animation,1.183,0.0,0,15546539.0,82365.0,14850.0,,,254971753.0
Retribution,2023.0,4000,16,Drama,0.6,0.0,0,13796374.0,39529.0,2995.0,5.3,25412.0,18685751.0
Picnic,2024.0,0,20,Drama,1.4,0.0,0,12757.0,233.0,38.0,,,2256981.0
Night Swim,2024.0,0,6,,1.4,0.0,0,14982586.0,40873.0,2999.0,4.7,27314.0,54075969.0
Mai,2024.0,10,0,,0.0,0.0,0,161220.0,778.0,142.0,6.8,1516.0,21714524.0
Madame Web,2024.0,100,14,"Action, Adventure, Animation, Comedy, Music",1.4,0.0,0,30877409.0,162454.0,31325.0,4.0,100803.0,100298817.0
Tarot,2024.0,0,4,Horror,0.0,0.0,0,16860963.0,81599.0,4643.0,4.8,31524.0,2545000.0
Dog Days,2024.0,0,41,,0.0,0.0,0,27777.0,294.0,17.0,6.7,314.0,2658318.0
Back to Black,2024.0,0,96,,0.0,0.0,0,13681506.0,30356.0,3113.0,6.3,26638.0,25445673.0
Dream,2023.0,0,15,Drama,0.6,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
Madame Web,2024.0,0,0,"Action, Fantasy, Science Fiction",4.574,0.0,0,30877409.0,162454.0,31325.0,4.0,100803.0,100298817.0
Next Goal Wins,2023.0,0,103,"Comedy, Drama",9.141,0.0,0,5183772.0,18536.0,1208.0,6.5,28965.0,18648802.0
The Marvels,2023.0,274800000,105,"Action, Adventure, Science Fiction",60.454,0.0,0,25950721.0,293432.0,34165.0,5.5,147692.0,206136557.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023.0,0,157,"Action, Adventure, Science Fiction",35.416,0.0,0,25614308.0,221535.0,15487.0,6.7,159440.0,337371917.0
Dune: Part Two,2024.0,0,0,"Science Fiction, Adventure",35.648,0.0,0,29938141.0,432907.0,19703.0,8.5,624671.0,705258731.0
Tiger 3,2023.0,0,0,"Action, Drama",4.015,0.0,0,82795763.0,2258100.0,172465.0,5.7,55084.0,11713932.0
Noryang: Deadly Sea,2023.0,0,0,"History, Action, Drama",2.614,0.0,0,594937.0,1845.0,135.0,6.3,1028.0,34210966.0
Five Nights at Freddy's,2023.0,0,110,"Horror, Thriller",117.405,0.0,0,44759028.0,878170.0,64060.0,5.4,111859.0,291493620.0
The Zone of Interest,2023.0,0,106,"Drama, War",8.032,0.0,0,6365139.0,30308.0,2423.0,7.3,133090.0,48575395.0
Killers of the Flower Moon,2023.0,170000000,206,"Crime, Drama, Thriller",90.719,0.0,0,19508763.0,68138.0,4788.0,7.6,280684.0,157026901.0
The Color Purple,2023.0,0,0,Drama,9.316,0.0,0,11241171.0,52444.0,5767.0,6.8,19102.0,67519191.0
Ferrari,2023.0,110000000,130,"Drama, History",12.428,0.0,0,435897.0,2317.0,177.0,6.4,62184.0,42285029.0
Aquaman and the Lost Kingdom,2023.0,0,0,"Action, Adventure, Fantasy",96.922,0.0,0,6790240.0,46064.0,3338.0,5.6,106056.0,434381226.0
Bade Miyan Chote Miyan,2024.0,0,0,"Action, Comedy",2.499,0.0,0,55124413.0,492200.0,54845.0,3.7,38982.0,2571834.0
Challengers,2024.0,8345268,0,"Drama, Romance, Comedy",9.45,0.0,0,9512121.0,23462.0,1938.0,7.0,154643.0,34641023.0
The Great Escaper,2023.0,0,96,"Comedy, Drama",9.213,0.0,0,1378474.0,2148.0,221.0,7.0,8291.0,9818521.0
Godzilla Minus One,2023.0,0,0,"Science Fiction, Horror, Action",8.626,0.0,0,2331765.0,35259.0,2719.0,7.7,169313.0,115857413.0
Migration,2023.0,0,0,"Animation, Comedy, Adventure, Family",13.76,0.0,0,24734627.0,61549.0,0.0,6.6,39933.0,297404638.0
Saltburn,2023.0,0,131,"Drama, Thriller, Comedy",8.057,0.0,0,16394288.0,62801.0,2083.0,7.0,243416.0,21026167.0
Trolls Band Together,2023.0,0,92,"Animation, Family, Music, Fantasy, Comedy",50.883,0.0,0,11114550.0,29125.0,0.0,6.0,18017.0,209314496.0
Animal,2023.0,0,116,Drama,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,116,Drama,1.4,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Silent Night,2023.0,0,0,"Action, Crime",5.327,0.0,0,16353887.0,70376.0,5837.0,5.3,25402.0,11067228.0
The Braid,2023.0,8500000,120,"Drama, Comedy",2.267,0.0,0,64154.0,167.0,27.0,7.2,1843.0,9408857.0
All of Us Strangers,2023.0,0,105,"Drama, Fantasy, Romance",8.353,0.0,0,3614911.0,41048.0,1903.0,7.6,70539.0,19914757.0
Kung Fu Panda 4,2024.0,0,0,"Action, Adventure, Animation, Comedy, Family",15.964,0.0,0,36415809.0,666348.0,0.0,6.3,68113.0,505432930.0
The Good Teacher,2024.0,0,0,Drama,1.4,0.0,0,23394.0,77.0,0.0,6.6,1895.0,3014200.0
It's Raining Men,2024.0,0,0,"Comedy, Drama",0.813,0.0,0,11130.0,31.0,1.0,,,2211183.0
Madame de Sévigné,2024.0,4900000,0,"Drama, History",1.909,0.0,0,3819.0,19.0,0.0,,,1640410.0
Maria Montessori,2024.0,3600000,114,"Drama, History",1.96,0.0,0,158047.0,3377.0,0.0,,,3021927.0
Dunki,2023.0,12022210,0,"Drama, Comedy",2.643,0.0,0,2269076.0,23594.0,720.0,6.5,81327.0,15473051.0
Drive-Away Dolls,2024.0,0,0,"Crime, Comedy, Action",6.927,0.0,0,5524584.0,9303.0,729.0,5.4,23322.0,6826057.0
Cocorico,2024.0,0,0,Comedy,1.111,0.0,0,1578615.0,4192.0,0.0,5.8,3230.0,17294530.0
Ordinary Angels,2024.0,0,116,"Drama, Family",3.753,0.0,0,7725785.0,26687.0,808.0,7.4,15784.0,19514171.0
Cabrini,2024.0,0,0,Drama,3.234,0.0,0,1173502.0,4692.0,432.0,7.3,8735.0,20232172.0
Perfect Days,2023.0,0,123,Drama,3.415,0.0,0,1795251.0,24821.0,582.0,7.9,82044.0,24486644.0
Land of Bad,2024.0,0,0,"Action, Thriller",5.001,0.0,0,3866666.0,27975.0,2724.0,6.6,51282.0,6569472.0
One Life,2023.0,0,109,"Drama, History",9.146,0.0,0,205583.0,1417.0,119.0,7.5,34065.0,51155555.0
Wonka,2023.0,125000000,0,"Adventure, Comedy, Family, Fantasy",28.66,0.0,0,46650672.0,486998.0,30194.0,7.0,176049.0,632302312.0
Poor Things,2023.0,70000000,141,"Science Fiction, Romance, Comedy",27.804,0.0,0,1187996.0,3638.0,235.0,7.8,339506.0,117403988.0
Animal,2023.0,0,0,"Action, Drama",5.29,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,0,"Action, Drama",5.29,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Fighter,2024.0,0,0,"Action, Thriller",2.512,0.0,0,54092978.0,658429.0,56682.0,6.2,52084.0,3800771.0
The Peasants,2023.0,0,114,"Animation, Drama, History, Romance",5.896,0.0,0,354453.0,4915.0,448.0,7.6,8010.0,10006057.0
Napoleon,2023.0,0,157,"War, History, Drama",44.644,0.0,0,37925356.0,373231.0,33858.0,6.3,172387.0,221039523.0
The Fall Guy,2024.0,0,0,"Action, Adventure, Thriller",5.999,0.0,0,25515666.0,183775.0,11564.0,6.8,220620.0,18864303.0
Argylle,2024.0,0,135,"Action, Adventure, Comedy",48.247,0.0,0,30365083.0,89410.0,6222.0,5.6,92537.0,96173090.0
Baghead,2024.0,0,0,,2.496,0.0,0,2320934.0,19000.0,1165.0,,,6422416.0
The Holdovers,2023.0,0,133,"Comedy, Drama",6.131,0.0,0,19550289.0,23562.0,1529.0,7.9,198616.0,44637335.0
The Beekeeper,2024.0,0,0,"Action, Thriller",5.831,0.0,0,18887438.0,88420.0,6967.0,6.3,156575.0,152720535.0
The Iron Claw,2023.0,0,0,Drama,8.444,0.0,0,22397603.0,134578.0,9597.0,7.6,103997.0,45128828.0
Bob Marley: One Love,2024.0,0,0,"Music, Drama",4.913,0.0,0,11963438.0,102313.0,4223.0,6.2,34567.0,177193170.0
The Boys in the Boat,2023.0,0,0,"Drama, History",4.707,0.0,0,11510501.0,14492.0,975.0,7.0,27666.0,55439737.0
Godzilla x Kong: The New Empire,2024.0,0,0,"Action, Science Fiction, Adventure",11.175,0.0,0,37090871.0,812326.0,54985.0,6.0,121564.0,524307009.0
Dream Scenario,2023.0,0,100,"Comedy, Fantasy",15.005,0.0,0,9778894.0,89828.0,4796.0,6.8,84587.0,12451752.0
